OBJECTID,PIDN,DISTRICT,MAP,COMMENT,PIDN_ORIGINAL,RESOLUTION,RES_DATE,BOOK,PAGE,INSTRUMENT,REC_DATE,LAST_REVIEW,FLAG,RES_ACRES
10126,43000BP0048G0,43,BP,,43000BP004800,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,0
10146,26000LI011100,26,LI,,26000LI011100,3-2-1996,1996/03/12 00:00:00+00,1256,1623,1996012183,1996/03/13 00:00:00+00,1970/01/01 00:00:00+00,,25
10150,40000GG016300,40,GG,,40000GG016300,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,13.48999977
10162,40000GG001900,40,GG,,40000GG001900,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,7.30000019
10170,3100009000600,31,LK,,3100LK00300,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
10177,24000IE001300,24,IE,,24000IE001300,2008-15,2008/05/27 00:00:00+00,1968,2525,2008034998,2008/06/02 00:00:00+00,1970/01/01 00:00:00+00,,25
10193,22000EH0007B0,22,EH,,22000EH0007B0,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,5.30000019
10195,31000ML002800,31,ML,,31000ML002800,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,19.70000076
10197,29000MB0073G0,29,MB,,29000MB0073G0,2001-9,2001/10/23 00:00:00+00,1463,8528,2001071304,2001/11/07 00:00:00+00,1970/01/01 00:00:00+00,,11.82699966
10199,3900036005800,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10204,4900005000500,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
10220,39000PH018000,39,PH,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,,0
10221,22000AH002800,22,AH,,22000AH002800,89-1,1989/03/08 00:00:00+00,102E,0590,1989009509,1989/03/14 00:00:00+00,1970/01/01 00:00:00+00,,18
10227,31000LK002400,31,LK,,31000LK002400,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,57.09000015
10230,40000GH0138A0,40,GH,,40000GH0138A0,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,33
10255,31000KL0047A0,31,KL,,31000KL0047A0,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,37
10274,26000MI0004E0,26,MI,,26000MI0004E0,3-2-1996,1996/03/12 00:00:00+00,1256,1623,1996012183,1996/03/13 00:00:00+00,1970/01/01 00:00:00+00,,1.10000002
10329,37000AF0029L0,37,AF,,37000AF002900,332A,1995/05/04 00:00:00+00,1279,1670,1996072048,1996/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
10343,24000NF007300,24,NF,,24000NF007300,92-7,1992/02/24 00:00:00+00,0331,0643,1992012741,1992/03/06 00:00:00+00,1970/01/01 00:00:00+00,,15
10350,31000LK0155A0,31,LK,,31000LK0155A0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,11.5
10361,40000FF0088L0,40,FF,,40000FF0088L0,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2000/10/01 00:00:00+00,1970/01/01 00:00:00+00,,18
10362,28000CM0024C0,28,CM,,28000CM0024C0,97-2,1997/04/14 00:00:00+00,1289,3508,1997021646,1997/04/24 00:00:00+00,1970/01/01 00:00:00+00,,122.30000305
10365,51000HG0140D0,51,HG,,51000HG0140D0,03-21,2003/09/25 00:00:00+00,1774,723,2005093427,2005/11/30 00:00:00+00,1970/01/01 00:00:00+00,,6.82299995
10368,29000MB0021A0,29,MB,,29000MB0021A0,2001-3,2001/06/26 00:00:00+00,1446,2323,2001040951,2001/07/11 00:00:00+00,1970/01/01 00:00:00+00,,14
10373,43000CQ002700,43,CQ,,43000CQ002700,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,95.37999725
10380,24000JF006100,24,JF,,24000JF006100,2007-16,2007/05/29 00:00:00+00,1897,2011,2007039953,2007/05/31 00:00:00+00,1970/01/01 00:00:00+00,,13
10383,50000KC000600,50,KC,,50000KC000600,2000,1999/12/20 00:00:00+00,1390,4455,2000008134,2000/02/11 00:00:00+00,1970/01/01 00:00:00+00,,48
10425,3400004000400,34,04,,34000FO002000,1,1988/11/01 00:00:00+00,101B,0367,1988053242,1988/11/03 00:00:00+00,1970/01/01 00:00:00+00,,0
10439,4900005001200,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
10445,31000030001D0,31,03,,31000030001D0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,18.25
10457,3600050003300,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10458,31000LK008000,31,LK,,31000LK008000,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,35.84000015
10469,50000JD001400,50,JD,,50000JD001400,2002,2002/02/12 00:00:00+00,1482,3039,2002016320,2002/02/28 00:00:00+00,1970/01/01 00:00:00+00,,17
10477,43000CO005500,43,CO,,43000BO002700,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,0
10478,28000CN0153F0,28,CN,,28000CN005000,98-1,1998/03/09 00:00:00+00,1317,0092,1998015835,1998/03/13 00:00:00+00,1970/01/01 00:00:00+00,,0
10498,4900005001100,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
10508,3900036004800,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10533,43000BQ002400,43,BQ,,43000BQ002400,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,18
10535,3600050003900,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10536,26000MI0050A0,26,MI,,26000MI0050A0,2-5-91B,1991/02/05 00:00:00+00,0125,1098,1991005754,1991/02/13 00:00:00+00,1970/01/01 00:00:00+00,,17.70999908
10542,3600050001300,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10555,3900036012500,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10561,38000QD0003B0,38,QD,Original UPID QD0003,38000QD000300,2010-05,2010/03/08 00:00:00+00,2067,2811,2010011846,2010/03/16 00:00:00+00,1970/01/01 00:00:00+00,,0
10567,38000PD0076A0,38,PD,,38000PD0076A0,2008-04,2008/01/07 00:00:00+00,1941,8939,2008001578,2008/01/08 00:00:00+00,1970/01/01 00:00:00+00,,21.70000076
10569,4900005001700,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
10570,4900005002800,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
10577,28000BN0043F0,28,BN,,28000BN004300,97-2,1997/04/14 00:00:00+00,1289,3508,1997021646,1997/04/24 00:00:00+00,1970/01/01 00:00:00+00,,0
10618,28000CN015300,28,CN,,28000CN005000,98-1,1998/03/09 00:00:00+00,1317,0092,1998015835,1998/03/13 00:00:00+00,1970/01/01 00:00:00+00,,0
10625,24000JF0063F0,24,JF,,24000JF006300,2007-16,2007/05/29 00:00:00+00,1897,2011,2007039953,2007/05/31 00:00:00+00,1970/01/01 00:00:00+00,,0
10633,34000DO006500,34,DO,,34000DO006500,5,1994/11/06 00:00:00+00,1044,322,1995003110,1995/01/23 00:00:00+00,1970/01/01 00:00:00+00,,15.88000011
10655,29000NB006800,29,NB,,29000NB006800,2001-3,2001/06/26 00:00:00+00,1446,2323,2001040951,2001/07/11 00:00:00+00,1970/01/01 00:00:00+00,,87.80000305
10657,40000DF007700,22,DF,,40000DF007700,2015-02,2015/01/14 00:00:00+00,2306,4576,2015002214,2015/01/16 00:00:00+00,1970/01/01 00:00:00+00,,52
10667,37000BF0018A0,37,BF,,37000BF0018A0,332A,1995/05/04 00:00:00+00,1279,1670,1996072048,1996/12/09 00:00:00+00,1970/01/01 00:00:00+00,,6.28999996
10679,50000ID001200,50,ID,,50000ID001200,2004,2004/02/16 00:00:00+00,1634,5442,2004016001,2004/02/23 00:00:00+00,1970/01/01 00:00:00+00,,6
10690,3900036006100,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10714,30000DE008200,30,DE,,30000DE008200,96-15,1996/12/04 00:00:00+00,1279,7692,1996073872,1996/12/17 00:00:00+00,1970/01/01 00:00:00+00,,10
10717,3100009001400,31,LK,,3100LK00300,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
10729,28000CM0037A0,28,CM,,28000CM0037A0,97-2,1997/04/14 00:00:00+00,1289,3508,1997021646,1997/04/24 00:00:00+00,1970/01/01 00:00:00+00,,55
10752,3400004001200,34,04,,34000FO002000,1,1988/11/01 00:00:00+00,101B,0367,1988053242,1988/11/03 00:00:00+00,1970/01/01 00:00:00+00,,0
10779,34000DN003000,34,DN,,34000DN003000,8,1998/01/05 00:00:00+00,1311,1170,1998000759,1998/01/07 00:00:00+00,1970/01/01 00:00:00+00,,39.20000076
10786,3100009001000,31,LK,,3100LK00300,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
10830,34000DN0017L0,34,DN,,34000DN0017L0,3,1992/04/07 00:00:00+00,0357,0167,1992020811,1992/04/08 00:00:00+00,1970/01/01 00:00:00+00,,151.55000305
10847,36000LH0075C0,36,LH,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10881,28000CN001700,28,CN,,28000CN001700,97-2,1997/04/14 00:00:00+00,1289,3508,1997021646,1997/04/24 00:00:00+00,1970/01/01 00:00:00+00,,4
10888,3600050000700,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
10891,40000GH014500,40,GH,,40000GH014500,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,15
10893,43000BP0078E0,43,BP,,43000BP007800,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,0
10901,34000CO003500,34,CO,,34000CO003500,8,1998/01/05 00:00:00+00,1311,1170,1998000759,1998/01/07 00:00:00+00,1970/01/01 00:00:00+00,,29
10921,37000AF0029T0,37,AF,,37000AF002900,332A,1995/05/04 00:00:00+00,1279,1670,1996072048,1996/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
10922,34000DN003200,34,DN,,34000DO007400,4,1993/12/30 00:00:00+00,0806,0165,1994001078,1994/01/05 00:00:00+00,1970/01/01 00:00:00+00,,0
10924,3400004000100,34,04,,34000FO002000,1,1988/11/01 00:00:00+00,101B,0367,1988053242,1988/11/03 00:00:00+00,1970/01/01 00:00:00+00,,0
10940,22000CH0002A0,22,CH,,22000CH000200,89-1,1989/03/08 00:00:00+00,102E,0590,1989009509,1989/03/14 00:00:00+00,1970/01/01 00:00:00+00,,0
10965,43000BQ004300,43,BQ,,43000BQ004300,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,5
10966,34000DN0030C0,34,DN,,34000DN003000,8,1998/01/05 00:00:00+00,1311,1170,1998000759,1998/01/07 00:00:00+00,1970/01/01 00:00:00+00,,0
10982,34000DO005000,34,DO,Parcel included in Tract 7,34000DO005000,1,1988/11/01 00:00:00+00,101B,0367,1988053242,1988/11/03 00:00:00+00,1970/01/01 00:00:00+00,,24
10999,3600050001000,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11016,22000CG0048D0,22,CG,,22000CG0048D0,93-2,1993/09/08 00:00:00+00,0720,0739,1993056624,1993/09/17 00:00:00+00,1970/01/01 00:00:00+00,,23
11020,40000FH0069A0,40,FH,,40000FH0069A0,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,3
11021,46000LJ007800,46,LJ,,46000LJ007800,90-10,1990/01/11 00:00:00+00,105E,0225,1990002093,1990/01/17 00:00:00+00,1970/01/01 00:00:00+00,,12
11024,43000AO0030B0,43,AO,,43000AO0030A0,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11028,37000CF003700,37,CF,,37000CF003700,332A,1995/05/04 00:00:00+00,1279,1670,1996072048,1996/12/09 00:00:00+00,1970/01/01 00:00:00+00,,110.5
11035,4900005001500,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
11045,20000PC010100,20,PC,,20000PC010100,2007-18,2007/07/09 00:00:00+00,1908,2543,2007053191,2007/07/18 00:00:00+00,1970/01/01 00:00:00+00,,82.95999908
11063,43000CQ0016C0,43,CQ,,43000CQ001600,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,0
11073,3600050003600,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11076,26000MI010700,26,MI,,26000MI010700,2-5-91B,1991/02/05 00:00:00+00,0125,1098,1991005754,1991/02/13 00:00:00+00,1970/01/01 00:00:00+00,,24
11077,3100009000100,31,LK,,3100LK00300,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
11085,29000NB008500,29,NB,,29000NB008500,2001-3,2001/06/26 00:00:00+00,1446,2323,2001040951,2001/07/11 00:00:00+00,1970/01/01 00:00:00+00,,102
11103,22000AG002000,22,AG,<Null>,22000AG002000,89-1,1989/03/08 00:00:00+00,102E,0590,1989009509,1989/03/14 00:00:00+00,1970/01/01 00:00:00+00,,42
11104,37000BG0081B0,37,BG,,37000BG0081B0,408,2004/05/06 00:00:00+00,1677,4167,2004080334,2004/09/17 00:00:00+00,1970/01/01 00:00:00+00,,22.84000015
11119,31000MK000100,31,MK,,31000MK000100,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,75
11120,37000BF0012A0,37,BF,,,411,2005/01/03 00:00:00+00,1700,7517,2005004742,2005/01/19 00:00:00+00,1970/01/01 00:00:00+00,,16.86000061
11136,3600050001600,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11157,3600050003000,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11173,3900036005500,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11187,3900036012800,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11188,3900036008300,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11191,40000FG005600,40,FG,,40000FG005600,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,5
11196,34000DN003000,28,DN,4 of 39 acres located in Fawn,34000DN003000,98-1,1998/03/09 00:00:00+00,1317,0092,1998015835,1998/03/13 00:00:00+00,1970/01/01 00:00:00+00,,4
11205,34000DN0030D0,34,CN,,34000DN003000,98-1,1998/03/09 00:00:00+00,1317,0092,1998015835,1998/03/13 00:00:00+00,1970/01/01 00:00:00+00,,0
11214,34000EO0003F0,34,EO,Tract 14,34000EO0003A0,1,1988/11/01 00:00:00+00,101B,0367,1988053242,1988/11/03 00:00:00+00,1970/01/01 00:00:00+00,,0
11215,29000NB0068B0,29,NB,,29000NB006800,2001-3,2001/06/26 00:00:00+00,1446,2323,2001040951,2001/07/11 00:00:00+00,1970/01/01 00:00:00+00,,0
11227,31000LK003400,31,LK,,31000LK003400,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,1
11228,31000LK009200,31,LK,,31000LK009200,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,48.00999832
11234,4900005002300,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
11263,28000CN0153E0,28,CN,,28000CN005000,98-1,1998/03/09 00:00:00+00,1317,0092,1998015835,1998/03/13 00:00:00+00,1970/01/01 00:00:00+00,,0
11300,3100009001300,31,LK,,3100LK00300,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
11306,49000MD001800,49,MD,,49000MD001800,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,153
11313,27000RG0004A0,27,RG,,27000RG000300,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,14.80000019
11347,40000GG008000,40,GG,,40000GG008000,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,37.09999847
11370,3100009000900,31,LK,,3100LK00300,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
11385,22000AG002100,22,AG,,22000AG002100,89-1,1989/03/08 00:00:00+00,102E,0590,1989009509,1989/03/14 00:00:00+00,1970/01/01 00:00:00+00,,3
11399,3900036005300,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11400,24000KF0026B0,24,KF,,24000JF011700,95-37,1995/10/23 00:00:00+00,1212,0860,1996057385,1995/11/13 00:00:00+00,1970/01/01 00:00:00+00,,0
11404,4900005000700,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
11423,3600050004200,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11454,43000BP0078F0,43,BP,,43000BP007800,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,0
11455,30000DE0025D0,30,DE,,30000DE0025D0,96-15,1996/12/04 00:00:00+00,1279,7692,1996073872,1996/12/17 00:00:00+00,1970/01/01 00:00:00+00,,2.77999997
11470,37000AF0029N0,37,AF,,37000AF002900,332A,1995/05/04 00:00:00+00,1279,1670,1996072048,1996/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
11484,43000AO0019A0,43,AO,,43000AO001800,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,10.07999992
11486,22000BH0048A0,22,BH,<Null>,22000BH0048A0,2003-06,2003/09/10 00:00:00+00,1603,0124,2003093239,2003/09/15 00:00:00+00,1970/01/01 00:00:00+00,,34
11500,50000ID0012E0,50,ID,,50000ID001200,2001,2000/12/18 00:00:00+00,1424,4671,2001005570,2001/02/07 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0.5
11523,37000AF0048G0,37,AF,,37000AF0048G0,332A,1995/05/04 00:00:00+00,1279,1670,1996072048,1996/12/09 00:00:00+00,1970/01/01 00:00:00+00,,10.23999977
11542,3900036000600,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11547,3600050001100,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11562,27000QG0089R0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,0
11563,43000BP0048C,43,BP,,43000BP004800,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,,0
11572,31000LK004700,31,LK,,31000LK004700,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,32
11580,4900005001400,49,NE,,49000NE005000,97-6,1997/12/17 00:00:00+00,1311,2664,1998001169,1998/01/08 00:00:00+00,1970/01/01 00:00:00+00,,0
11596,43000CQ0024D0,43,CQ,,43000CQ002400,1,1989/02/06 00:00:00+00,102A,0636,1989007300,1989/02/23 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11598,31000LK0005B0,31,LJ,,31000LJ0005A0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,46
11599,31000LK006800,31,LK,,31000LK006800,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,26.48999977
11633,31000LK000500,31,LJ,,31000LK000500,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,0
11635,37000DF003700,37,DF,,37000DF003700,389,2002/08/01 00:00:00+00,1514,2473,2002072080,2002/09/04 00:00:00+00,1970/01/01 00:00:00+00,,101
11649,37000CF0079R0,37,CF,,37000CF0079R0,332A,1995/05/04 00:00:00+00,1279,1670,1996072048,1996/12/09 00:00:00+00,1970/01/01 00:00:00+00,,10.06999969
11660,3900036005000,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11664,31000LK006300,31,LK,,31000LK006300,2002-21,2002/12/05 00:00:00+00,1539,1358,2003001917,2003/01/08 00:00:00+00,1970/01/01 00:00:00+00,,9.99400043
11665,24000NF006500,24,NF,,24000NF006500,92-7,1992/02/24 00:00:00+00,0331,0643,1992012741,1992/03/06 00:00:00+00,1970/01/01 00:00:00+00,,59
11687,34000FO0027C0,34,FO,,34000FO002700,4,1993/12/30 00:00:00+00,0806,0165,1994001078,1994/01/05 00:00:00+00,1970/01/01 00:00:00+00,,0
11692,28000CN0018C0,28,CN,,28000CN001800,97-2,1997/04/14 00:00:00+00,1289,3508,1997021646,1997/04/24 00:00:00+00,1970/01/01 00:00:00+00,,0
11694,3400004001000,34,04,,34000FO002000,1,1988/11/01 00:00:00+00,101B,0367,1988053242,1988/11/03 00:00:00+00,1970/01/01 00:00:00+00,,0
11701,31000MK0013B0,31,MK,,31000MK0013B0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,56.45999908
11703,22000AG0009B0,22,AG,<Null>,22000AG0009B0,89-1,1989/03/08 00:00:00+00,102E,0590,1989009509,1989/03/14 00:00:00+00,1970/01/01 00:00:00+00,,0
11707,27000QH003100,27,QH,,27000QH003100,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,8
11733,3600050003100,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11740,47000GH013800,47,GH,CrossestoNC,47000GH013800,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,2010/02/01 00:00:00+00,CrossestoNC,30
11749,34000DN0030C0,34,DN,,34000DN003000,98-1,1998/03/09 00:00:00+00,1317,0092,1998015835,1998/03/13 00:00:00+00,1970/01/01 00:00:00+00,,0
11760,46000LJ0079A0,46,LJ,,46000LJ0079A0,97-16,1997/02/27 00:00:00+00,1287,3817,1997016624,1997/04/01 00:00:00+00,1970/01/01 00:00:00+00,,11.06999969
11770,31000LK003200,31,LK,,31000LK003200,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,0
11771,3100009000400,31,LK,,3100LK00300,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
11772,40000EF013300,40,EF,,40000EF013300,11-09-2010,2010/09/21 00:00:00+00,2094,4576,2010047436,2010/10/01 00:00:00+00,1970/01/01 00:00:00+00,,52.56999969
11799,3900036008400,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
11800,24000JF0058B0,24,JF,,24000JF005800,95-37,1995/10/23 00:00:00+00,1212,0860,1996057385,1995/11/13 00:00:00+00,1970/01/01 00:00:00+00,,0
11820,20000NC0136J0,20,NC,,20000NC0136J0,2010-11,2010/04/12 00:00:00+00,2073,4525,2010019966,2010/05/04 00:00:00+00,1970/01/01 00:00:00+00,,11.03999996
11825,37000AF0029R0,37,AF,,37000AF002900,332A,1995/05/04 00:00:00+00,1279,1670,1996072048,1996/12/09 00:00:00+00,1970/01/01 00:00:00+00,,0
